-159.64617092752,-295.807621135332,0
-159.918802652835,-295.650217135332,0.750066
-160.730976864961,-295.181308135332,1.444236
-162.0656449878,-294.410737135332,2.068752
-163.894799759794,-293.354674135332,2.606226
-166.180052006843,-292.035283135332,3.039078
-168.873441242086,-290.480254135332,3.353136
-171.918438523316,-288.722224135332,3.540486
-175.251136371887,-286.798090135332,3.601032
-178.801594576189,-284.748232135332,3.542514
-182.495300310479,-282.615670135332,3.3792
-186.254726980613,-280.445164135332,3.12972
-190.000981404354,-278.282263135332,2.814744
-193.655430207091,-276.172366135332,2.455044
-197.14138857137,-274.159747135332,2.070348
-200.385689474925,-272.286649135332,1.678968
-203.320242536411,-270.592384135332,1.298082
-205.883468153465,-269.112505135332,0.944106
-208.021565363903,-267.878074135332,0.63291
-209.68965499925,-266.915002135332,0.379428
-210.852740972939,-266.243494135332,0.196824
-211.486406564736,-265.877647135332,0.09522
-211.607695154587,-265.807621135332,-0.0756
-211.335063429272,-265.965025135332,-0.119628
-210.522889217146,-266.433934135332,-0.249114
-209.188221094307,-267.204505135332,-0.456648
-207.359066322313,-268.260568135332,-0.730938
-205.073814075264,-269.579959135332,-1.058118
-202.380424840021,-271.134988135332,-1.422852
-199.335432754943,-272.893015135332,-1.80909
-196.00272971022,-274.817152135332,-2.2002
-192.452271505918,-276.867010135332,-2.578668
-188.758565771628,-278.999572135332,-2.925714
-184.999139101495,-281.170078135332,-3.221196
-181.252889873905,-283.332976135332,-3.444198
-177.598435875016,-285.442876135332,-3.574482
-174.112477510737,-287.455495135332,-3.594612
-170.868176607182,-289.328593135332,-3.492288
-167.933623545696,-291.022858135332,-3.26229
-165.370397928642,-292.502737135332,-2.907402
-163.232305914356,-293.737165135332,-2.43786
-161.564211082857,-294.700240135332,-1.869354
-160.401125109168,-295.371748135332,-1.2198
-159.767459517371,-295.737595135332,-0.505734
-159.64617092752,-295.807621135332,0
